Product_Code,Purchased
60050435,37
6161107792107,30
6008104000432,5
6161100602267,17
6007497100798,1
0612520312091,19
6002854000124,32
6009642450208,8
6009880918096,46
6009606000616,8
6001024999787,33
6001052010171,9
6007421000095,16
6009522300098,29
6001565009037,42
6001068586806,11
6009880593095,40
6009001015802,8
6001087005800,35
6001085120946,8
6001067066613,26
6001374051258,0
6009700135092,15
6001298070052,5
6001106224370,0
6001106102951,35
6005088000472,17
6001509500026,16
6001016400000,28
6001374041921,34
6001206413728,11
600130601550,23
5050083485039,44
6001275003653,19
6003977000190,4
6001156905106,47
52126235,25
12345,8
60050435,4
6161107792107,12
6008104000432,45
6161100602267,2
6007497100798,13
0612520312091,15
6002854000124,37
6009642450208,9
6009880918096,31
6009606000616,7
6001024999787,40
6001052010171,20
6007421000095,32
6009522300098,28
6001565009037,12
6001068586806,25
6009880593095,27
6009001015802,37
6001087005800,11
6001085120946,26
6001067066613,39
6001374051258,27
6009700135092,21
6001298070052,37
6001106224370,18
6001106102951,4
6005088000472,25
6001509500026,46
6001016400000,40
6001374041921,44
6001206413728,11
600130601550,7
5050083485039,2
6001275003653,3
6003977000190,39
6001156905106,38
52126235,39
12345,39
60050435,37
6161107792107,45
6008104000432,47
6161100602267,23
6007497100798,30
0612520312091,17
6002854000124,32
6009642450208,35
6009880918096,5
6009606000616,27
6001024999787,9
6001052010171,27
6007421000095,28
6009522300098,32
6001565009037,22
6001068586806,15
6009880593095,22
6009001015802,45
6001087005800,42
6001085120946,35
6001067066613,19
6001374051258,45
6009700135092,38
6001298070052,30
6001106224370,30
6001106102951,8
6005088000472,43
6001509500026,39
6001016400000,31
6001374041921,1
6001206413728,44
600130601550,23
5050083485039,18
6001275003653,16
6003977000190,1
6001156905106,21
52126235,22
12345,43
60050435,37
6161107792107,13
6008104000432,35
6161100602267,9
6007497100798,47
0612520312091,25
6002854000124,13
6009642450208,1
6009880918096,14
6009606000616,32
6001024999787,21
6001052010171,4
6007421000095,8
6009522300098,25
6001565009037,27
6001068586806,30
6009880593095,6
6009001015802,24
6001087005800,30
6001085120946,2
6001067066613,22
6001374051258,28
6009700135092,13
6001298070052,6
6001106224370,14
6001106102951,33
6005088000472,27
6001509500026,28
6001016400000,5
6001374041921,36
6001206413728,3
600130601550,41
5050083485039,26
6001275003653,11
6003977000190,18
6001156905106,36
52126235,33
12345,17
60050435,10
6161107792107,19
6008104000432,34
6161100602267,15
6007497100798,3
0612520312091,30
6002854000124,16
6009642450208,24
6009880918096,38
6009606000616,45
6001024999787,39
6001052010171,21
6007421000095,11
6009522300098,20
6001565009037,25
6001068586806,9
6009880593095,14
6009001015802,15
6001087005800,20
6001085120946,12
6001067066613,21
6001374051258,22
6009700135092,44
6001298070052,39
6001106224370,37
6001106102951,10
6005088000472,32
6001509500026,45
6001016400000,1
6001374041921,8
6001206413728,26
600130601550,40
5050083485039,13
6001275003653,19
6003977000190,32
6001156905106,41
52126235,23
12345,16
60050435,35
6161107792107,14
6008104000432,40
6161100602267,14
6007497100798,32
0612520312091,32
6002854000124,18
6009642450208,40
6009880918096,9
6009606000616,35
6001024999787,34
6001052010171,40
6007421000095,6
6009522300098,35
6001565009037,8
6001068586806,40
6009880593095,19
6009001015802,2
6001087005800,33
6001085120946,17
6001067066613,46
6001374051258,33
6009700135092,28
6001298070052,36
6001106224370,33
6001106102951,13
6005088000472,39
6001509500026,10
6001016400000,41
6001374041921,14
6001206413728,44
600130601550,15
5050083485039,5
6001275003653,44
6003977000190,35
6001156905106,23
52126235,0
12345,22
60050435,14
6161107792107,3
6008104000432,9
6161100602267,28
6007497100798,42
0612520312091,19
6002854000124,13
6009642450208,25
6009880918096,27
6009606000616,27
6001024999787,26
6001052010171,5
6007421000095,17
6009522300098,28
6001565009037,22
6001068586806,10
6009880593095,10
6009001015802,42
6001087005800,22
6001085120946,11
6001067066613,27
6001374051258,45
6009700135092,30
6001298070052,39
6001106224370,23
6001106102951,35
6005088000472,11
6001509500026,37
6001016400000,40
6001374041921,29
6001206413728,36
600130601550,33
5050083485039,22
6001275003653,10
6003977000190,28
6001156905106,11
52126235,20
12345,4
60050435,35
6161107792107,30
6008104000432,6
6161100602267,4
6007497100798,10
0612520312091,5
6002854000124,23
6009642450208,34
6009880918096,40
6009606000616,7
6001024999787,24
6001052010171,5
6007421000095,12
6009522300098,9
6001565009037,12
6001068586806,40
6009880593095,37
6009001015802,26
6001087005800,24
6001085120946,23
6001067066613,14
6001374051258,7
6009700135092,33
6001298070052,13
6001106224370,46
6001106102951,4
6005088000472,0
6001509500026,14
6001016400000,47
6001374041921,32
6001206413728,39
600130601550,22
5050083485039,12
6001275003653,16
6003977000190,21
6001156905106,4
52126235,6
12345,30
60050435,20
6161107792107,5
6008104000432,5
6161100602267,26
6007497100798,42
0612520312091,18
6002854000124,47
6009642450208,47
6009880918096,19
6009606000616,11
6001024999787,1
6001052010171,23
6007421000095,44
6009522300098,7
6001565009037,8
6001068586806,17
6009880593095,41
6009001015802,41
6001087005800,0
6001085120946,3
6001067066613,45
6001374051258,31
6009700135092,9
6001298070052,32
6001106224370,37
6001106102951,38
6005088000472,11
6001509500026,31
6001016400000,38
6001374041921,20
6001206413728,4
600130601550,12
5050083485039,0
6001275003653,16
6003977000190,37
6001156905106,13
52126235,31
12345,23
60050435,40
6161107792107,23
6008104000432,33
6161100602267,31
6007497100798,34
0612520312091,34
6002854000124,42
6009642450208,40
6009880918096,3
